STO_Nr;STO_DEU;STO_LAT;EIGNUNG;WB_VERJ_ENT;WB_PFL;BESCHREIBUNG;HOEHENVERBREITUNG;VEGETATION;VORWALDBAUMARTEN;GESGR_Nr;VERDRISK;PRIORITAET
29C;Ulmen-Eschen-Auenwald mit Weissegge;Ulmo-Fraxinetum caricetosum albae;"PR: Produktiver und vielseitiger Standort; oft aber nur klein und schwer zugänglich.
NG: Periodisch von Hochwasser überschwemmt, an der regulierten Reuss nur mehr in Extremfällen.
NS: Durch Kalkreichtum und Dynamik sehr wertvoll, sehr reichhaltige Strauchschicht.";"N: Meist auffallende Verjüngung unter Schirm und in Lücken, trotz 'Konkurrenz' durch viele Sträucher.
Verjüngung wenn nötig durch Lichtungshiebe fördern; stark deckende Sträucher vorgängig auf Stock setzen.
Verjüngungsflächen in Gruppen- bis Horstgrösse.
Grossflächiger Femelschlag.
U: Je nach vorhandener Ansamung mit starkem Lichtungshieb die Verjüngung verstärken.";"N: Mischungsregulierung ab Ende Jungwuchs; Durchforstung bis BH 2, grosse Kronen ausbilden.
Spezialitäten wie FUl und SAh fördern, einzeln bis truppweise beigemischt oder zumindest in Nebenbestand mitnehmen.
Positive Auslese und Pflege lohnend.
Mischungsform: Trupp- bis gruppenweise.
U: Räumung des Altbestandes in Dickung; Mischungsregulierung mit Schlagräumung.
";"Wüchsige Eschenmischwälder der Hartholzauen, die heute kaum mehr überschwemmt, jedoch vom Grundwasser beeinflusst werden. Unterwuchs artenreich und vielfältig. 
Skelettreiche, nährstoff- und basenreiche, gut durchlässige Auenböden, oberflächlich recht trocken. ";"submontan, untermontan; 400-900m";"E: 	Busch-Windröschen
F: 	Berg-Goldnessel, Baumtropf 
H: Wald-Springkraut
K: 	Grosses Zweiblatt, Gundelrebe
M: Bingelkraut, Wald-Zwenke, Wolliger Schnellball, Seidelbast, Feld-Rose; weitere Kalkzeiger!
P: Weisse Segge ";−;"28,29,
30,32";2;
29h;Ulmen-Eschenwald mit Waldschachtelhalm;Ulmo-Fraxinetum equisetosum silvaticae;"PR: Ziemlich produktiver Standort, Befahrbarkeit eingeschränkt, Holzernte erschwert.
NG: Wichtige Funktion als Wasserspeicher in flacher Lage, biologische Entwässerung wichtig.
NS: Wertvoller Nassstandort.";"N: Unter Schirm; in kleinen Öffnungen reichlich. Durch Lichtungshiebe wird genügende Verjüngung erreicht. Verjüngungsflächen bis Horstgrösse.
Mittel- bis grossflächiger Femelschlag.
U: Durch sorgfältige Lichtungshiebe Vorverjüngung auslösen; v.a. um bestehende Verjüngungsflächen. Hauptwindrichtung beachten. Räumung des Altbestandes in Gruppengrösse ab Anfang Dickung.
";"N: Mischungsregulierung ab Beginn  Dickung; Durchforstung bis BH 1. Auf grosse Kronen achten. Nassschneerisiko, bes. für Es.
Mischungsform: Laubholz trupp- bis gruppenweise, Ta einzeln bis truppweise beigemischt.
U: Mischungsregulierung Ende Dickung, gleichzeitig Erweiterung der Verjüngungsflächen um 1 Baumlänge.";"Ziemlich wüchsige Eschenmischwälder in lehmreichen Plateaulagen. Unterwuchs gut ausgebildet, jedoch nicht sehr vielfältig. 
Boden schluffig-tonig und zeitweise vernässt, wegen raschen Abbaus nährstoffund basenreich bis neutral, oft entwässert.";"obermontan; 900-1110m";"E: Wald-Veilchen 
F: Berg-Goldnessel	
H: 	Wald-Ziest, Wald-Springkraut, Rasen-Schmiele
K: 	Welliges Sternmoos, Pariser-Hexenkraut, Hängende Segge, Wald-Gilbweiderich";−;"28,29,
30,32";4;
29Ls;Zweiblatt-Eschenmischwald, Ausb. auf Lehmböden tiefer Lagen;Ulmo-Fraxinetum listeretosum, Ausb. tiefer Lagen;"PR: Mässig wüchsig, kleines Spektrum an Baumarten; nur auf stabilen Teilflächen bedingt wirtschaftlich nutzbar.
NG: Wegen Gleyboden grosse Bedeutung; mit Dauerbestockung können Wasserabfluss und Stabilität positiv beeinflusst werden.
NS: Wenig bedeutend.";"N: Ta unter Schirm, Edellaubhölzer in Lücken an günstigen Kleinstandorten.
Durch schwache Lichtungshiebe wird genügend Vorverjüngung erreicht; Lichtschächte für Es, BAh, HBi und VBe. 
Einzel- bis Gruppenplenterung.
U: Überführung in Plenterstruktur ist oberstes Ziel auf diesem nass-sauren Standort! Früh punktuelle Vorverjüngung auf ganzer Fläche einleiten oder Vorhandenes fördern. Gesunde, stabile Einzelbäume (aller Baumarten) mit grösster Lebenserwartung stehen lassen. SEi-Flächen rein (nur submontan).";"N: Kann sich auf Schlagpflege nach Plentereingriff beschränken (naturnahe Bestände fehlen weitgehend).
Mischungsform: Einzeln bis truppweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur, insbesondere kleinflächiges Abdecken von Verjüngungskegeln. Vorwaldarten nutzen, v.a. VBe und HBi.";"Mässig wüchsige Mischwälder mit hohem Ta- und Fi-Anteil. Bevorzugt auf vergleyten, schwach geneigten Hangterrassen. 
Boden saurer und nährstoffärmer als 26, mit geringer Aktivität, dadurch Moder-Auflage. Erschwerte Keimung der Laubhölzer.";"submontan, untermontan; 600-900m";"B: Faulbaum
C: 	Heidelbeere, Breiter Wurmfarn, Ta-mariskenmoos, Wald-Frauenhaar
D: 	Weiblicher Waldfarn
K: 	Wald Schachtelhalm, Pariser-Hexenkraut, Welliges Sternmoos
";VBe, HBi, Wei;26, 27;4;
30;Traubenkirschen-Eschenwald;Pruno-Fraxinetum;"PR:  Ziemlich produktiver Nassstandort, wenn nicht zu sauer; bei zunehmender Säure nimmt Wuchskraft deutlich ab. Erschwerte Holzernte, da nicht befahrbar.
Eher seltener Standort, meist kleinflächig, i.d.R. kein Wirtschaftswald.
NG: Wichtige Funktion zur Wasserrückhaltung, biologische Entwässerung durch Tiefwurzler prioritär.
NS: Grosse Bedeutung als Nassstandort.";"N: Auf aktiven Böden: Es unter Schirm, in Öffnungen reichlich; übrige Arten vereinzelt. Auf sauren Böden: Ta und auch Fi unter Schirm.
Durch Lichtungshieb wird reichliche Vorverjüngung erreicht.";"N: Punktuelle Eingriffe mit leichten Auflichtungen, um stabile Einzelbäume zu fördern. Auf tiefen Schlankheitsgrad, v.a. der Es, achten.
Mischungsform: Trupp- bis gruppenweise.
U: Falls Ta vorhanden: Stabilste Einzelbäume als Gerüst stehen lassen.";"Mässig bis gut wüchsige Eschenmischwälder mit üppiger Kraut- oder Moosschicht in flachen, dauernd nassen Mulden, v.a. auf Plateaus. 
Boden lehmig, dauernd vernässt, Oberboden mit saurem Anmoor oder basischem Hydromull; bei stärkerer Säure von Moderschicht überdeckt. In diesem Fall mit beigemischten Ta und Fi.
 ";"submontan, untermontan; 400-1000m";"C: 	saurer ‚Flügel’: Heidelbeere, Breitblättriger Wurmfarn, Wald-Frauenhaar
E: 	Waldmeister 
F: 	Berg-Goldnessel
H: 	Traubenkirsche, Wald-Ziest, Wald-Springkraut
I: 	Sumpf-Dotterblume, Sumpf-Pippau, Wechselblättriges Milzkraut 
K: 	Welliges Sternmoos, Pariser-Hexenkraut, Hängende Segge ";VBe, HBi;"28,29,
30,32";5;4
32C;Untermontaner Grauerlen-Auenwald;Calamagrostio-Alnetum incanae;"PR: Kein Wirtschaftswald.
NG: Wird regelmässig von Hochwassern überflutet.
NS: Interessanter Spezialstandort.";N: Je nach Hochwasserereignissen dynamische Wechsel in der Verjüngung.;N: Nicht erforderlich.;"Mässig wüchsige, dicht aufwachsende Erlenwälder an häufig überschwemmten Bach- und Flussauen mit üppiger und hoher Krautschicht. 
Wenig entwickelte, schotterreiche Auenböden, die wegen des sehr raschen Abbaus nährstoff- und basenreich sind.
";"untermontan; 600-1000m";"E: 	Waldmeister, Walderdbeere 
F: 	Weisse Pestwurz 
H: 	Rasen-Schmiele, Berg-Kerbel
I: Rote Waldnelke, Sumpf-Dotterblume, Sumpf-Pippau
J: Kohldistel
K: 	Wald-Brustwurz 
M: 	Bingelkraut, Wald-Zwenke, Wolliger Schneeball
O: 	Buntes Reitgras, Wald-Witwenblume ";−;"28,29,
30,32";2;2
32V;Obermontaner Grauerlen-Auenwald;Violo-Alnetum incanae;"PR: Kein Wirtschaftswald.
NG: Wird regelmässig von Hochwassern überflutet.
NS: Interessanter Spezialstandort.";N: Je nach Hochwasserereignissen dynamische Wechsel in der Verjüngung.;N: Nicht erforderlich.;"Mässig wüchsige, dicht aufwachsende Erlenwälder an häufig überschwemmten Bach- und Flussauen mit üppiger und hoher Krautschicht. 
Wenig entwickelte, grobschotterige Auenböden, basenreich.
";"obermontan; 900-1100m";"E: Walderdbeere 
F: Weisse Pestwurz 
H: Rasen-Schmiele
I: Rote Waldnelke, Sumpf-Pippau
J: Kohldistel, Wald-Storchenschnabel
K: Wald-Brustwurz 
M: Wald-Zwenke
O: Buntes Reitgras, Wald-Witwenblume 
";−;"28,29,
30,32";2;2
44;Seggen-Schwarzerlen-Bruchwald;Carici elongatae-Alnetum glutinosae;"PR: Ohne Bedeutung.
NG: Bedeutung minim, da in ebenen Lagen; wenn entwässert, verstärkter Spitzenabfluss.
NS: Ausserordentlich seltener Sonderstandort von höchstem Wert; oft Renaturierungen notwendig.";"N: Verjüngung in lichten Beständen meist reichlich.
U: Standorte meist entwässert, mit Fi-Pflanzungen, zudem oft abgetorft. Renaturierungen gemäss sorgfältigen Einzelprojekten.";"N: Kaum notwendig.
U: Gemäss Einzelprojekten.";Mässig wüchsige, lichte und lückige Schwarzerlen- bzw. Weidenbestände. Unterwuchs grasig, von Seggen und offenen Wasserflächen beherrscht. ;"submontan, untermontan; 400-800m";"KS: Scharfkantige Segge, Gewöhnlicher Gilbweiderich.
MS: spärlich.
";−;44, 45;5;3
45;Föhren-Birken-Bruchwald;Pino-Betuletum;"PR: Ohne Bedeutung.
NG: Bedeutung minim, da in ebenen Lagen; wenn entwässert, verstärkter Spitzenabfluss.
NS: Ausserordentlich seltener Sonderstandort von höchstem Wert; oft Renaturierungen notwendig.";"N: Verjüngung in lichten Beständen meist reichlich.
U: Standorte meist entwässert, mit Fi-Pflanzungen, zudem oft abgetorft. Renaturierungen gemäss sorgfältigen Einzelprojekten.";"N: Kaum notwendig.
U: Gemäss Einzelprojekten.";Schwach wüchsige, lichte und lückige Föhren-Birkenbestände. Unterwuchs mit deckender Zwergstrauch- und Moosschicht. ;"submontan, untermontan; 400-900m ";"KS: Rauschbeere, Pfeifengras, Scheidiges Wollgras.
MS: üppig, mit Torfmoos, Gemeinem Frauenhaar.";−;44, 45;5;3
46;Typischer Heidelbeer-Tannen-Fichtenwald;Vaccinio myrtillii-Abieti-Piceetum typicum;"PR: Wuchskraft mässig, nur Ta und Fi als Wertträger; diese aber mit sehr guten Qualitäten.
NG: Ausgezeichnete Schutzwirkung, da sehr stabile Standorte.
NS: Oft hohe Heidelbeerbestände und spezialisierte Moosflora.";"N: Ta und Fi unter Schirm und in Lücken.
Einzel- bis Gruppenplenterung.
U: Überführung in Plenterstruktur ist zentral: Früh punktuelle Vorverjüngung auf ganzer Fläche einleiten. Einzelbäume mit grösster Lebenserwartung stehen lassen. Ta-Samenbäume konsequent begünstigen; wenn solche fehlen, Ta unterpflanzen.";"N: Kann sich auf Schlagpflege beschränken.
Mischungsform: Einzeln bis truppweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur.";"Mässig wüchsige Nadelwälder auf Plateaus, Terrassen und leicht bis mittel geneigten Hängen; am Kuppenrand.
Boden meist podsoliert.";"obermontan, hochmontan; 900-1500m";"A: Torfmoose, Roststengelmoos
B: 	Dreilapp. Peitschenmoos, Gewelltes Wurmmoos, Rostrote Alpenrose, Wald-Schmiele 
C: 	Heidelbeere, Hainmoos, Wald-Frauenhaar, Breiter Wurmfarn, Rippenfarn, ";VBe;46;3;
46t;Peitschenmoos-Fichten-Tannenwald;Bazzanio-Abietetum;"PR: Wuchskraft mittel; nur Ta und Fi als Wertträger; diese aber mit sehr guten Qualitäten.
NG: Ausgezeichnete Schutzwirkung, da sehr stabile Standorte.
NS: Oft hohe Heidelbeerbestände und spezialisierte Moosflora.";"N: Ta und Fi unter Schirm und in Lücken.
Einzel- bis Gruppenplenterung.
U: Überführung in Plenterstruktur ist zentral: Früh punktuelle Vorverjüngung auf ganzer Fläche einleiten. Einzelbäume mit grösster Lebenserwartung stehen lassen. Ta-Samenbäume begünstigen; wenn solche fehlen, Ta unterpflanzen.";"N: Kann sich auf Schlagpflege be-schränken.
Mischungsform: Einzeln bis truppweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur.";"Wüchsige bis mässig wüchsige Nadelwälder auf Plateaus, Terrassen und leicht bis mittel geneigten Hängen.
Boden oft podsoliert, in Muldenlagen auch vergleyt.";"submontan, untermontan; 500-1000m";"A: Torfmoose (auf Lehmboden), Rotstengelmoos
B: Peitschenmoos, Gewelltes Wurmmoos, Wald-Schmiele 
C: 	Heidelbeere, Hainmoos, Wald-Frauenhaar, Breiter Wurmfarn";VBe;46;3;
46*;Heidelbeer-Tannen-Fichtenwald mit Torfmoos;Vaccinio myrtilli-Abieti-Piceetum sphagnetosum;"PR: Wuchskraft mässig bis gering, nur Ta und Fi als Wertträger; diese aber mit guten Qualitäten. Boden nicht befahrbar. Holzernte sehr anspruchsvoll.
NG: Gute Schutzwirkung mit Dauerbestockung.
NS: Oft sehr hohe Heidelbeerbestände und spezialisierte Moosflora.";"N: Ta und Fi unter Schirm und in Lücken.
Einzel- bis Gruppenplenterung.
U: Überführung in Plenterstruktur ist zentral: Früh punktuelle Vorverjüngung auf ganzer Fläche einleiten. Einzelbäume mit grösster Lebenserwartung stehen lassen. Ta-Samenbäume konsequent begünstigen.";"N: Kann sich auf Schlagpflege be-schränken.
Mischungsform: Einzeln bis truppweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur.
 
 ";"Mässig wüchsige, oft stufige Nadelwälder in nassen Mulden- und Plateaulagen. Unterwuchs von kniehohen Heidelbeeren und von Torfmoos dominiert. 
Boden extrem sauer, mit mächtiger Rohhumusauflage. Im Untergrund dauernd und zeitweise auch im Oberboden vernässt.";"obermontan, hochmontan; 900-1500m";"A: 	Torfmoose, Straussenfedermoos, Rotstengelmoos, 
B: Gewelltes Wurmmoos
C: Heidelbeere, Hainmoos, Wald-Frauenhaar, Breiter Wurmfarn ";−;46;4;
48;Blockschutt-Tannen-Fichtenwald;Asplenio-Abieti-Piceetum;"PR: Wuchskraft mässig bis mittel, Holzernte durch Lage und Felsblöcke oft erschwert, deshalb unbedeutend.
NG: Meist in Steinschlagsituationen im Ablagerungsgebiet; wichtige Schutzfunktion. Ausnahme: spezielle Variante auf Karst.
NS: Relativ seltene und teilweise sehr vielseitige Sonderstandorte von hohem Wert.";"N: Neben Bu und Ta auch Fi unter lichtem Schirm; Lichtbaumarten in Lücken.
U: Bei besonderer Schutzfunktion punktuell auflichten.";"Bei besonderer Schutzfunktion punktuelle Eingriffe zur Verbesserung der Struktur.
";Bergsturzgebiet oder Schutthang mit wüchsigen bis mässig wüchsigen, stufigen Nadelmischwäldern. Von weitreichenden Wurzeln übersponnene Blöcke wechseln mit krautreichen Nischen.;"obermontan, hochmontan; 1100-1600m";"SS: Vielfältig und meist stark: Schwarzes Geissblatt, Roter Holunder, Alpen-Geissblatt, Alpen-Hagrose.
KS: Auf Blöcken mit Heidelbeere, Tannen-Bärlapp, Eichenfarn, Ruprechtsfarn. In Nischen: Rundblättriger Steinbrech, Grauer Alpendost, Wolliger Hahnenfuss.
MS: Hainmoos, Tamariskenmoos, Wald-Frauenhaar.";−;48;1;
49;Typischer Schachtelhalm-Tannen-Fichtenwald;Equiseto-Abieti-Piceetum typicum;"PR: Mässig wüchsiger Standort, Holzqualität teilweise gut, nicht befahrbar.
NG: Durch tonreichen Untergrund und grosse Ausdehnung in hohen Lagen für Schutzfunktion sehr bedeutend. Häufig mit Drainagegräben, dadurch hoher Spitzenabfluss.
NS: Wertvolle Nassstandorte.";"N: Ta und Fi vorwiegend auf trockeneren Kleinstandorten mit wenig Hochstauden sowie auf Moderholz; Verjüngung generell schwierig.
Förderung durch Schlitze an besonnten Rändern. In Schattenlagen auf Seitenlicht achten. Diffuse Auflichtung und Löcherhiebe wegen Förderung der Hochstauden und Schneeablagerung vermeiden.
Für Moderholz Bäume quer in Blössen hineinfällen.
Gruppenplenterung.
U: Wirksame Ta-Förderung hat auf diesem Standort oberste Priorität. Dazu in der Umgebung Samen tragender Ta günstige Keim- und Aufwuchsbedingungen schaffen. Die spärliche Verjüngung gegen Wildverbiss schützen. Falls Naturverjüngung nicht erfolgreich: Stützpunktpflanzungen mit Ta anlegen. Alle Ta als Strukturträger und Samenbäume stehen lassen!";"N: Alle Ta konsequent freistellen, in der Jugend behutsam, später stärker. Im Übrigen einzig Schlagpflege notwendig.
Mischungsform: Trupp- oder gruppenweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur. Vorhandene Ta-, BAh- oder Fi-Verjüngung herausarbeiten. ";"Lückige, mässig wüchsige Tannen-Fichtenwälder an meist grossflächig vernässten Hängen. Mosaik von Kleinstandorten aus sauren, heidelbeerreichen Erhöhungen und oft baumfreien, nassen und nährstoffreichen Senken mit üppiger Krautschicht. 
Boden im Untergrund tonig und dauernd nass. Oberboden gemäss Kleinstandorten mit trocken-saurer Rohhumusauflage bzw. nass-basischem Hydromull.";"obermontan, hochmontan; 1200- 1500m";"A: 	Rotstengelmoos
C: 	Heidelbeere, Wald-Frauenhaar, Breiter Wurmfarn, Rippenfarn, Wald-Hainsimse
F: 	Weisse Pestwurz, Gew. Schlüsselblume
H: 	Berg-Kerbel, Wolliger Hahnenfuss
I: 	Eisenhutblättriger Hahnenfuss, Sumpf-Dotterblume, Sumpf-Pippau
J: 	Kohldistel, Wald-Storchenschnabel, Grauer Alpendost
A-C: trocken-saure Inseln";−;49, 50;4;
50;Typischer Hochstauden-Tannen-Fichtenwald;Adenostylo alliariae-Abieti-Piceetum typicum;"PR: Relativ wüchsiger, meist stabiler Standort mit guten Holzqualitäten; bei guter Zugänglichkeit nutzbar.
NG: Erhöhte Bedeutung in steilen Lagen. Erzielung stabiler Bestände als oberstes Ziel.
NS: Wenige Besonderheiten, ausser in steilen Lagen.";"N: Ta und meist auch Fi unter lichtem Schirm. Konkurrenz durch Hochstauden und Farne kann Verjüngung behindern.
Durch schlitzartige Öffnungen Verjüngung auf geeigneten Kleinstandorten (erhöhte Stellen, Moderholz u.a.) einleiten. Diffuse Auflichtung und Löcherhiebe wegen Förderung der Hochstauden und Schneeablagerung vermeiden; Rotten zusammenhalten.
In Schattenlagen auf Richtung des Seitenlichts achten. Moderholz liegen lassen.
Gebirgsplenterung.
U: Verbesserung der häufig einschichtigen Strukturen durch punktuelle Lichtungshiebe und Begünstigung von Verjüngungsansätzen, insbesondere in der Umgebung Samen tragender Ta. Falls Naturverjüngung nicht erfolgreich: Stützpunktpflanzungen mit Ta anlegen.
Alle Ta als Strukturträger und Samenbäume stehen lassen!";"N: Bei der Gebirgsplenterung auf die Erhaltung von Rotten und Gruppen achten. Dicke, standfeste Bäume teilweise stehen lassen. 
Alle Ta konsequent freistellen, in der Jugend behutsam, später stärker. 
Im Übrigen einzig Schlagpflege notwendig. 
Mischungsform: Trupp- oder gruppenweise.
U: Punktuelle Eingriffe zur Förderung der Rottenstruktur. ";"Ziemlich wüchsige Tannen-Fichtenwälder mit Plenter- und leichter Rottenstruktur an Hängen aller Expositionen. Auf leichten Erhöhungen oft schwache Versauerung, daneben aktive Böden mit Nährstoffzeigern sowie einzelnen Hochstauden. 
Ausgeglichene, aktive, gut nährstoffversorgte und gut durchlässige Braunerden. Oberboden je nach Kleinstandort mit basischem Mull oder saurem Moder.";"hochmontan; 1300-1600m";"B: 	Gewöhnl. Alpenlattich
C: Heidelbeere, Wald-Frauenhaar, Breiter Wurmfarn, Wald-Hainsimse
D: 	Purpur-Hasenlattich
E: 	Ährige Rapunzel, Breitblättriger Ehrenpreis, Sanikel
F: 	Weisse Pestwurz
H: 	Gelber Eisenhut
J: 	Grauer Alpendost ";−;49, 50;2;
50d;Hochstauden-Tannen-Fichtenwald, artenarme Ausb.;Adenostylo alliariae-Abieti-Piceetum, artenarme Ausb.;"PR: Wuchskraft mässig, gute Holzqualitäten.
NG: Gute Schutzwirkung, da meist stabile Standorte. Robuste Strukturen fördern.
NS: Wenig Besonderheiten; oft schöne Heidelbeerbestände.";"N: Ta und meist auch Fi unter lichtem Schirm.
Durch schlitzartige Öffnungen wird Verjüngung gefördert. Verjüngungsgünstige Kleinstandorte meist vorhanden: Stöcke, Kuppen. Diffuse Auflichtung und Löcherhiebe wegen Förderung der Hochstauden und Schneeablagerung vermeiden.";"N: Fördern der Rottenstruktur. Alle Ta konsequent freistellen, in der Jugend behutsam, später stärker. Im Übrigen einzig Schlagpflege notwendig.
Mischungsform: Trupp- oder gruppenweise.
U: Punktuelle Eingriffe zur Förderung der Rottenstruktur. ";"Mässig wüchsige Tannen-Fichtenwälder an Hängen aller Expositionen, v.a. auf breiten Rücken. Unterwuchs lückig und eher artenarm.
Oberboden saurer als bei 50, daher leicht höherer Fi-Anteil. Nährstoffarme, meist gut durchlässige Braunerden mit saurer Moderauflage.";"hochmontan; 1300-1600m";"B: 	Gewöhnl. Alpenlattich, Preiselbeere
C: Heidelbeere, Wald-Frauenhaar, Hainmoos, Breiter Wurmfarn, Rippenfarn, Wald-Hainsimse
D: 	Purpur-Hasenlattich, Echte Goldrute, Wald-Habichtskraut
E: 	Breitblättriger Ehrenpreis";−;49, 50;2;
50f;Hochstauden-Tannen-Fichtenwald mit Alpenmilchlattich;Adenostylo alliariae-Abieti-Piceetum cicerbitetosum;"PR: Recht wüchsiger Standort, Holzqualität teilweise gut, in steilen und schneereichen Lagen nur bedingt.
NG: Erhöhte Bedeutung in steilen Lagen. Erzielung stabiler Bestände als oberstes Ziel.
NS: Spezieller Lebensraum durch sehr üppige und vielfältige Krautschicht.";"N: Ta und meist auch Fi v.a. in Schlitzen an besonnten Rändern. Oft Konkurrenz durch üppige Hochstauden und Farne. 
Durch schlitzartige Öffnungen wird Verjüngung gefördert. In Schattenlagen auf Seitenlicht achten. Diffuse Auflichtung und Löcherhiebe wegen Förderung der Hochstauden und Schneeablagerung vermeiden.
Moderholz für gute Verjüngung unentbehrlich, dazu Bäume quer in Blössen hineinfällen. Zeit lassen!
Gruppenplenterung.
U: Verbesserung der häufig einschichtigen Strukturen durch punktuelle Lichtungshiebe und Begünstigung von Verjüngungsansätzen, insbesondere in der Umgebung Samen tragender Ta. Falls Naturverjüngung nicht erfolgreich: Stützpunktpflanzungen mit Ta anlegen. Alle Ta als Strukturträger und Samenbaum stehen lassen!";"N: Alle Ta konsequent freistellen, in der Jugend behutsam, später stärker. Im Übrigen einzig Schlagpflege notwendig.
Mischungsform: Trupp- oder gruppenweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur. Aus Vorwaldbeständen geeignete Ta-, BAh- oder Fi-Verjüngung herausarbeiten. ";"Wüchsige Tannen-Fichtenwälder mit Plenter- und leichter Rottenstruktur, v.a. in schattig-feuchten Hang- und Muldenlagen. Unterwuchs von Nährstoffzeigern und oft üppigen Hochstauden beherrscht. Runsen und Mulden manchmal als baumfeindliche Flächen. 
Aktive, nährstoff- und basenreiche Braunerden mit raschem Abbau und tonreichem, mässig durchlässigen Mineralboden.";"hochmontan; 1300-1600m";"D: 	Purpur-Hasenlattich, Waldfarn
E: 	Echter Wurmfarn, Ährige Rapunzel, Sanikel
F: 	Weisse Pestwurz, Gewöhnl. Schlüsselblume
H: 	Berg-Kerbel, Gelber Eisenhut, Wolliger Hahnenfuss
I: 	Eisenhutblättriger Hahnenfuss
J: 	Grauer Alpendost, Rundblättriger Steinbrech, Zweiblütiges Veilchen, Alpen-Milchlattich";−;49, 50;3;
53;Typischer Zwergbuchs-Fichtenwald;Polygala-chamaebuxi-Piceetum;"PR: Ohne Bedeutung für Holzproduktion.
NG: Meist sehr stabile Standorte; vereinzelt in Steinschlaggebieten.
NS: Ausserordentlich wertvolle Standorte durch lichten Bestand, v.a. aber durch Mischvegetation von kalkreichem Untergrund mit saurer Auflage.";Problemlose Verjüngung von Fi und vereinzelten Mischbaumarten.;I.d.R. nicht notwendig. Punktuelle Eingriffe in Steinschlagsituationen.;"Schwach wüchsige, lichte bis aufgelöste Fichtenwälder an sonnigen, wechseltrockenen Felsstandorten. Unterwuchs artenreich, mit stellenweise grasigem Aspekt. 
Boden flachgründig, skelettreich, wenig entwickelt und stark austrocknend. Auf dem anstehenden Kalkfels Bildung von Rohhumustaschen.";"subalpin; 1600-1800m";"B: 	Besenheide, Preiselbeere
C: 	Heidelbeere, Wald-Frauenhaar
M: 	Bingelkraut
O: 	Buntes Reitgras, Schlaffe Segge
P: 	Blaugras, Weisse Segge, Berg-Segge, Buchsblättrige Kreuzblume, Berg-Distel, Behaarte Alpenrose";−;53, 56, 57, 60;1;2
53Ta;Typischer Zwergbuchs-Fichtenwald mit Tanne;Polygala-chamaebuxi-Piceetum mit Tanne;"PR: Ohne Bedeutung für Holzproduktion
NG: Meist unbedeutend, beschränkte Wirkung für Wasserspeicherung.
NS: Sehr wertvolle Standorte durch lichten Bestand, v.a. aber durch Mischvegetation von kalkreichem Untergrund mit saurer Auflage.";Ta und Fi unter Schirm in meist lichten Beständen.;Nicht notwendig.;"Schwach wüchsige, lichte bis aufgelöste Fichten-Mischwälder an sonnigen, wechseltrockenen, felsigen Standorten. Unterwuchs artenreich, mit stellenweise grasigem Aspekt. 
Boden flachgründig, skelettreich, wenig entwickelt und stark austrocknend. Auf dem oft anstehenden Kalkfels Bildung von Rohhumustaschen.";"hochmontan; 1400-1600m";"B: 	Besenheide, Preiselbeere
C: 	Heidelbeere, Wald-Frauenhaar
M: 	Bingelkraut
O: 	Buntes Reitgras, Schlaffe Segge
P: 	Blaugras, Weisse Segge, Berg-Segge, Buchsblättrige Kreuzblume, Berg-Distel, Behaarte Alpenrose";−;53, 56, 57, 60;1;2
56;Moorrand-Fichtenwald;Sphagno-Piceetum;"PR: Wuchskraft sehr gering, oft tiefastig, stets feinjährig. Befahren sehr heikel. Ohne Bedeutung.
NG: Wichtige Funktion als Wasserspeicher in Einzugsgebieten von Wildbächen; mit Moospolstern und Zwergsträuchern sehr wertvoll.
NS: Meist dichte Torfmoosbestände mit hochwachsenden Heidelbeeren. Wertvolle Moose, vereinzelt Hochmoorarten.";"In kleinen Rotten um Stöcke, auf Moderholz und an erhöhten Stellen, meist im Trauf von Altbäumen.
Nur punktuelle Eingriffe nutzbringend.
Gebirgsplenterung.";Punktuelle Eingriffe zur Förderung der Verjüngung und der Rottenstruktur.;"Schwach wüchsige Fichtenwälder mit Tanne, mit deutlicher Rottenstruktur auf flachen Hängen sowie auf Terrassen. Unterwuchs von Heidelbeeren und Torfmoosen dominiert. 
Boden tonreich, undurchlässig, extrem sauer mit mächtiger Rohhumusauflage; meist am Rande von Hochmooren.";"obermontan, hochmontan; 1000-1500m";"A: 	Torfmoose, Gemeines Haarmützenmoos, Herzblättriges Zweiblatt, Straussenfedermoos, Rotstengelmoos
B: 	Gewelltes Wurmmoos, Gewöhnl. Alpenlattich, Wald-Schmiele
C: 	Heidelbeer";−;53, 56, 57, 60;5;3
